country,code,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Health: Total expenditure (% of GDP),Seats held by women in national parliaments %,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
bosnia and herzegovina,BIH,51209,3507,68.8,96.4,16251,3.1,4265,7.3,26.5,66.2,96,97,-1,39.8,0.1,9.6,21.4,91,42.7,252,85
botswana,BWA,582000,2292,4,97.7,14391,-0.3,6360.6,2.4,33.4,64.2,110,110,1.8,57.4,1.3,5.4,9.5,28,19.3,47,44
brazil,BRA,8515767,209288,25,96.6,1772591,-3.8,8528.3,5.2,22.7,72,135,136,0.9,85.7,1.2,8.3,10.7,990,59.2,10948,61
brunei darussalam,BRN,5765,429,81.3,106,12930,-0.6,30552.7,1.1,60.2,38.7,157,157,1.4,77.2,1.8,2.6,9.1,193,72.1,679,357
bulgaria,BGR,111002,7085,65.3,94.6,48953,3,6846.8,5.1,27.6,67.2,117,119,-0.6,73.9,-0.3,8.4,19.2,104,35.1,474,103
burkina faso,BFA,272967,19193,70.2,99.5,11065,4.1,611.1,34.5,21.8,43.7,131,134,3,29.9,5.9,5,11,31,19.8,123,9
burundi,BDI,27830,10864,423.1,96.9,2735,-4.1,244.6,36.3,13.9,49.8,109,122,3,12.1,5.7,7.5,36.4,61,10.6,56,6
cape verde,CPV,4033,546,135.6,99.3,1603,1.5,3080.2,9.5,19.8,70.7,98,98,1.2,65.5,2,4.8,23.6,65,22.1,2,17
cambodia,KHM,181035,16005,90.7,95.3,18050,7,1158.7,28.2,29.4,42.3,175,177,1.6,20.7,2.6,5.7,20.3,255,54.3,178,17
cameroon,CMR,475650,24054,50.9,100.2,28416,5.8,1217.3,22.7,28.3,49.1,155,160,2.7,54.4,3.6,4.1,31.1,775,40.3,408,14
canada,CAN,9984670,36624,4,98.5,1552808,0.9,43205.6,1.8,28.6,69.6,109,109,1,81.8,1.2,10.4,26.3,122,38.2,19276,324
cayman islands,CYM,264,62,256.5,100.4,3726,0.7,62132,0.3,7.5,92.2,104,104,1.5,100,1.5,,,74,52.9,,130
central african republic,CAF,622984,4659,7.5,97.3,1633,4.8,333.2,34.9,24.8,40.4,114,113,0.4,40,2.6,4.2,8.6,60,35.6,19,5
chad,TCD,1284000,14900,11.8,100.2,10009,6.6,713,25.4,39,35.6,146,151,3.3,22.5,3.4,3.6,12.8,43,4,288,6
chile,CHL,756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,111,111,0.9,89.5,1.1,7.8,15.8,197,23.4,540,85
china,CHN,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,132,133,0.5,55.6,3,5.5,23.7,1080,22,101394,87
colombia,COL,1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34,59.2,114,115,1,76.4,1.7,7.2,18.7,835,52.8,5380,31
comoros,COM,2235,814,437.4,101.8,1079,4.8,1368.9,30.7,4,65.3,107,107,2.4,28.3,2.7,6.7,6.1,114,20.1,3,6
congo,COG,342000,5261,15.4,100.1,8493,1.2,1838.1,4.7,70,25.3,106,106,2.6,65.4,3.2,5.2,7.4,134,65.4,648,24
cook islands,COK,236,17,72.4,97.4,294,5.5,14118.7,8.1,9,82.9,91,91,-1.2,74.5,0.9,3.4,,75,62.9,,48
costa rica,CRI,51100,4906,96.1,100.1,52958,3.7,11015,5.1,21.5,73.4,127,129,1.1,76.8,2.7,9.3,35.1,340,53.4,110,44
croatia,HRV,56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,91,91,-0.4,59,0.1,7.8,19.9,176,34.3,182,79
cuba,CUB,109884,11485,107.9,100.1,87206,4.4,7656.6,5,20.5,74.5,100,101,0.2,77.1,0.1,11.1,48.9,339,30.2,212,47
cyprus,CYP,9251,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,80,80,0.9,66.9,0.9,7.4,17.9,72,18.7,5,72
czech republic,CZE,78868,10618,137.5,96.7,185156,4.5,17561.7,2.5,37.8,59.7,102,102,0.1,73,0.3,7.4,20,53,34.5,1221,164
"korea, democratic people's republic of",PRK,120538,25491,211.7,95.7,16283,-1.1,648,21.6,46.2,32.2,104,103,0.5,60.9,0.7,,16.3,78,42.8,871,20
congo (rep),COD,2344858,81340,35.9,99.6,37569,7,486.2,19.9,44.2,35.9,104,104,3.3,42.5,4,4.3,8.9,349,67.4,1179,16
denmark,DNK,42921,5734,135.1,99,301308,1.6,53149.3,1.2,22.9,75.8,105,105,0.5,87.7,0.6,10.8,37.4,47,14.4,666,119
djibouti,DJI,23200,957,41.3,100.7,1737,6.5,1956.3,3.3,21.4,75.3,133,133,1.7,77.3,1.6,10.6,10.8,98,0.2,3,13
dominica,DMA,750,74,98.6,103,512,-1.8,7051.1,15.4,13.2,71.5,110,111,0.5,69.5,0.8,5.5,25,66,58.1,0,29
dominican republic,DOM,48671,10767,222.8,99.2,67103,7,6373.6,6.6,28,65.4,136,138,1.2,79,2.6,4.4,26.8,184,40.4,28,28
ecuador,ECU,257217,16625,66.9,99.9,100177,0.2,6205.1,10.1,34.1,55.8,118,119,1.6,63.7,1.9,9.2,41.6,2358,50.8,1247,42
egypt,EGY,1002000,97553,98,102.3,315917,4.2,3452.3,11.2,36.3,52.5,120,122,2.2,43.1,1.7,5.6,14.9,156,0.1,3509,36
el salvador,SLV,21041,6378,307.8,88.5,25850,2.5,4219.4,10.8,25.8,63.3,111,117,0.5,66.7,1.4,6.8,32.1,86,13,86,28
